SiteNativeID,SiteName,SiteTypeCV,Longitude,Latitude,Geometry,CoordinateMethodCV,CoordinateAccuracy,GNISCodeCV,NHDMetadataID
106254,DANFORD W 5A 25633-F,Well,-104.559895,39.822168,,5107,Spotted from section lines,0.01,99999
106255,DANFORD W 6 LF-25662F,Well,-104.616779,39.808706,,5107,Spotted from section lines,0.01,99999
106256,DANFORD W 6A 25634-F,Well,-104.616922,39.808598,,5107,Spotted from section lines,0.01,99999
106257,DANFORD W 7 LF-25663-F,Well,-104.607321,39.80853,,5107,Spotted from section lines,0.01,99999
106258,DANFORD W 7A 25635-F,Well,-104.607463,39.808422,,5107,Spotted from section lines,0.01,99999
106259,DANFORD W 8 LF-25664-F,Well,-104.578724,39.8082,,5107,Spotted from section lines,0.01,99999
106260,DANFORD W 8A 25636-F,Well,-104.578866,39.808092,,5107,Spotted from section lines,0.01,99999
106261,DANFORD W 9 LF-25665F,Well,-104.578717,39.801109,,5107,Spotted from section lines,0.01,99999
106262,DANFORD W 9A 25637-F,Well,-104.57886,39.801001,,5107,Spotted from section lines,0.01,99999
106263,DANIELSON E STOCK 122653,Well,-103.66005,40.282527,,5107,Spotted from section lines,0.01,99999
106264,DANIELSON HOUSE W 63763,Well,-103.660033,40.282365,,5107,Spotted from section lines,0.01,99999
106266,DANIELSON LABOR W 122655,Well,-103.659831,40.275844,,5107,Spotted from section lines,0.01,99999
106267,DANIELSON W STOCK 122654,Well,-103.660695,40.282566,,5107,Spotted from section lines,0.01,99999
106268,DANIELSON WELL 22013F,Well,-103.66876,40.276021,,5107,GPS,0.01,99999
106269,DANIELSON WELL 8527,Well,-103.640583,40.292273,,5107,GPS,0.01,99999
106270,DANIELSON/MORTENSEN 8477,Well,-103.668854,40.27189,,5107,GPS,0.01,99999
106271,DARLING WELL 1-8582,Well,-104.649315,40.459922,,5107,Spotted from section lines,0.01,99999
106272,DARLING WELL 4483,Well,-104.620561,40.471452,,5107,GPS,0.01,99999
106274,DAVIS CATTLE CO P 12332R,Well,-104.668491,40.435365,,5107,GPS,0.01,99999
106275,DAVIS FARMS P 2 1-14957R,Well,-104.672999,40.450197,,5107,Spotted from section lines,0.01,99999
106276,DAVIS FARMS P 2 2-14958R,Well,-104.673001,40.449157,,5107,Spotted from section lines,0.01,99999
106277,DAVIS FARMS P 2 3-14959R,Well,-104.668071,40.44999,,5107,Spotted from section lines,0.01,99999
106278,DAVIS FARMS WELL 14956,Well,-104.683723,40.474613,,5107,Spotted from section lines,0.01,99999
106280,DAVIS WELL 1-14965,Well,-104.653766,40.435222,,5107,GPS,0.01,99999
106281,DAVIS WELL 2-14964,Well,-104.656384,40.425807,,5107,GPS,0.01,99999
106282,DAVIS WELL 3,Well,-104.652516,40.428345,,5107,Spotted from section lines,0.01,99999
