WaterSourceID,WaterSourceUID,WaterSourceNativeID,WaterSourceName,WaterSourceTypeCV,WaterQualityIndicatorCV,Geometry,GNISFeatureNameCV
1031,Little Salt Wash-CODWR,A1127,Little Salt Wash,Uknown,Fresh,,
1032,Little Snake River-CODWR,A1128,Little Snake River,Uknown,Fresh,,
1033,Little Spring Creek-CODWR,A1129,Little Spring Creek,Uknown,Fresh,,
1034,Little Squaw Creek-CODWR,A1130,Little Squaw Creek,Uknown,Fresh,,
1035,Little Thompson River-CODWR,A1131,Little Thompson River,Uknown,Fresh,,
1036,Little Trout Creek-CODWR,A1132,Little Trout Creek,Uknown,Fresh,,
1037,Little Turkey Creek-CODWR,A1133,Little Turkey Creek,Uknown,Fresh,,
1038,Little Vasquez Creek-CODWR,A1134,Little Vasquez Creek,Uknown,Fresh,,
1039,Little White Snake Creek-CODWR,A1135,Little White Snake Creek,Uknown,Fresh,,
1040,Little Willow Creek-CODWR,A1136,Little Willow Creek,Uknown,Fresh,,
1041,Little Wolf Creek-CODWR,A1137,Little Wolf Creek,Uknown,Fresh,,
1042,Little Woody Creek-CODWR,A1138,Little Woody Creek,Uknown,Fresh,,
1043,Loch Lomond Creek-CODWR,A1139,Loch Lomond Creek,Uknown,Fresh,,
1044,Lone Pine Creek-CODWR,A1140,Lone Pine Creek,Uknown,Fresh,,
1045,Lone Pine Gulch-CODWR,A1141,Lone Pine Gulch,Uknown,Fresh,,
1046,Lone Tree Creek-CODWR,A1142,Lone Tree Creek,Uknown,Fresh,,
1047,Lonetree Creek-CODWR,A1143,Lonetree Creek,Uknown,Fresh,,
1048,Long Branch-CODWR,A1144,Long Branch,Uknown,Fresh,,
1049,Long Creek-CODWR,A1145,Long Creek,Uknown,Fresh,,
1050,Long Draw-CODWR,A1146,Long Draw,Uknown,Fresh,,
1051,Long Gulch-CODWR,A1147,Long Gulch,Uknown,Fresh,,
1052,Long Gulch Creek-CODWR,A1148,Long Gulch Creek,Uknown,Fresh,,
1053,Long Hollow-CODWR,A1149,Long Hollow,Uknown,Fresh,,
1054,Long Park Creek-CODWR,A1150,Long Park Creek,Uknown,Fresh,,
1055,Longs Gulch-CODWR,A1151,Longs Gulch,Uknown,Fresh,,
1056,Lopez Canyon-CODWR,A1152,Lopez Canyon,Uknown,Fresh,,
1057,Lorencito Canyon-CODWR,A1153,Lorencito Canyon,Uknown,Fresh,,
1058,Los Creek-CODWR,A1154,Los Creek,Uknown,Fresh,,
1059,Los Pinos Creek-CODWR,A1155,Los Pinos Creek,Uknown,Fresh,,
1060,Los Pinos River-CODWR,A1156,Los Pinos River,Uknown,Fresh,,
1061,Lost Canyon Creek-CODWR,A1157,Lost Canyon Creek,Uknown,Fresh,,
1062,Lost Creek-CODWR,A1158,Lost Creek,Uknown,Fresh,,
1063,Lost Dog Creek-CODWR,A1159,Lost Dog Creek,Uknown,Fresh,,
1064,Lost Lake Creek-CODWR,A1160,Lost Lake Creek,Uknown,Fresh,,
1065,Lost Mine Creek-CODWR,A1161,Lost Mine Creek,Uknown,Fresh,,
1066,Lost Solar Creek-CODWR,A1162,Lost Solar Creek,Uknown,Fresh,,
1067,Lost Trail Creek-CODWR,A1163,Lost Trail Creek,Uknown,Fresh,,
1068,Loutsenhizer Arroyo-CODWR,A1164,Loutsenhizer Arroyo,Uknown,Fresh,,
1069,Low Pass Gulch-CODWR,A1165,Low Pass Gulch,Uknown,Fresh,,
1070,LOWER ARAPAHOE-CODWR,A1166,LOWER ARAPAHOE,Uknown,Fresh,,
1071,LOWER DAWSON-CODWR,A1167,LOWER DAWSON,Uknown,Fresh,,
1072,Loy Creek-CODWR,A1168,Loy Creek,Uknown,Fresh,,
1073,Lubers Drainage Ditch-CODWR,A1169,Lubers Drainage Ditch,Uknown,Fresh,,
1074,Luchsinger Creek-CODWR,A1170,Luchsinger Creek,Uknown,Fresh,,
